USC00242347,24-01-1965,47.3181,-109.9372,1100.3,-0.6
USC00248957,04-09-1945,46.9878,-104.1567,821.7,34.4
USC00459185,03-07-1958,45.8167,-121.4,627.9,28.9
USW00013984,10-12-1917,39.5514,-97.6508,447.8,-13.9
USC00459185,18-07-1958,45.8167,-121.4,627.9,32.2
USC00022787,11-02-1968,33.6,-114.5333,98.1,21.1
USC00398307,27-04-1928,45.4283,-101.0764,662.3,19.4
JA000047809,15-02-2002,33.65,130.699,38,12
SWE00136405,23-03-1993,60.48,15.43,140,7.4
USW00014891,22-06-1951,40.8203,-82.5178,394.7,28.3
CA001141455,24-11-2004,49.3,-117.6333,496,3
MX000007169,23-02-1973,17.3,-92.32,1350,20
USC00030150,16-10-1909,34.2467,-93.4392,160.3,29.4
FI000007501,01-12-1913,67.3678,26.6328,179,-4
USC00410923,25-05-1984,33.6403,-96.1661,180.4,32.8
GMM00010253,07-04-1986,52.967,11.133,17,6
FI000007501,04-12-1913,67.3678,26.6328,179,-6.6
CA008206000,07-03-1938,45.3667,-63.3,24,3.9
USC00242347,07-01-1965,47.3181,-109.9372,1100.3,-13.3
CA006166800,27-02-1945,44.6,-77.4167,195,-5
USC00465875,30-08-1989,37.9892,-80.68,975.4,27.2
USC00375110,26-12-1903,41.4333,-71.4667,6.7,12.8
USC00242347,04-01-1965,47.3181,-109.9372,1100.3,-1.1
USR0000CMIO,13-03-2009,36.2314,-118.8689,586.1,19.4
CA004074640,29-05-1983,53.2833,-104.3333,375,19
CA001096458,29-07-1996,54.05,-122.7333,762,28.5
USC00022787,04-02-1968,33.6,-114.5333,98.1,23.9
USC00242347,01-01-1965,47.3181,-109.9372,1100.3,-1.1
USC00390701,29-04-1961,45.5286,-102.465,847.3,15
USS0015C16S,01-01-1985,46.76,-115.3,1914.1,-8.1
USC00242347,29-01-1965,47.3181,-109.9372,1100.3,4.4
USC00164674,26-06-2016,29.9592,-91.7108,6.1,33.3
KE000063820,15-09-1981,-4.033,39.617,55,28
USC00053592,18-06-1954,39.8789,-106.3333,2359.2,30
CA005041530,14-06-1972,50.4,-98.55,250,16.7
USW00024088,18-06-1986,44.2169,-104.9292,1318.3,29.4
USC00375110,29-12-1903,41.4333,-71.4667,6.7,1.1
USC00205073,07-10-1980,45.9511,-86.2514,182.9,16.1
USC00030150,06-10-1909,34.2467,-93.4392,160.3,36.1
USC00164674,18-06-2016,29.9592,-91.7108,6.1,33.9
USW00013984,11-12-1917,39.5514,-97.6508,447.8,-4.4
USW00024088,09-06-1986,44.2169,-104.9292,1318.3,27.2
CA006158875,22-02-2001,44.1167,-77.5333,86,-4.2
CA004074640,14-05-1983,53.2833,-104.3333,375,4
CHM00052203,26-06-1988,42.817,93.517,739,32.7
USC00465875,13-08-1989,37.9892,-80.68,975.4,25
USW00014717,04-08-1951,43.2333,-75.4,158.2,18.9
USC00408873,21-04-1922,36.4167,-83.55,406,20
JA000047402,04-03-1976,44.933,142.583,8,0.6
USW00024144,30-07-1940,46.6056,-111.9636,1166.8,33.9
USC00410923,24-05-1984,33.6403,-96.1661,180.4,30
USC00242347,03-01-1965,47.3181,-109.9372,1100.3,5.6
CA008206000,22-03-1938,45.3667,-63.3,24,5.6
RSM00034240,20-09-1926,50.8,42,110,14.7
USC00248957,09-09-1945,46.9878,-104.1567,821.7,22.2
USC00408873,26-04-1922,36.4167,-83.55,406,20
USW00014891,24-06-1951,40.8203,-82.5178,394.7,29.4
USC00292030,24-08-1937,35.4072,-104.1906,1293.6,35.6
USR0000CMIO,03-03-2009,36.2314,-118.8689,586.1,18.3
USW00012928,05-01-1985,27.5,-97.8167,17.1,16.7
CA006166800,16-02-1945,44.6,-77.4167,195,0.6
CA006158875,28-02-2001,44.1167,-77.5333,86,-5.5
USC00057296,12-08-2004,40.7022,-105.7106,2347,21.1
USC00459185,09-07-1958,45.8167,-121.4,627.9,28.9
USC00451484,24-02-1916,48.9672,-122.3292,19.5,12.2
RSM00031235,29-11-1985,55.33,134.5,318,-21.9
USC00242827,20-03-1994,48.8978,-115.0644,771.8,3.3
USS0015C16S,22-01-1985,46.76,-115.3,1914.1,-3.9
CA008206000,24-03-1938,45.3667,-63.3,24,8.3
GMM00010253,25-04-1986,52.967,11.133,17,13
CA008103050,16-04-2007,48.0167,-64.5,4,1.3
USC00486450,15-12-1948,43.5167,-104.3333,1250.9,-1.1
USC00240780,15-10-1914,45.8325,-109.9511,1249.7,23.3
CA006166800,01-02-1945,44.6,-77.4167,195,-5.6
USC00410923,15-05-1984,33.6403,-96.1661,180.4,33.9
CA001141455,09-11-2004,49.3,-117.6333,496,6.7
