Faculty Name,Faculty Rank,Faculty Area,Faculty Profile,Faculty Homepage
Pavol Hell,Professor,Computational Combinatorics,https://www.sfu.ca/computing/people/faculty/pavolhell.html,http://www.cs.sfu.ca/~pavol/
Valentine Kabanets,Associate Professor,"Pseudorandomness and Derandomization, Complexity of Computation, Automata and Logic",https://www.sfu.ca/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/
Ramesh Krishnamurti,Professor,Combinatorial Optimization and Approximation Algorithms,https://www.sfu.ca/computing/people/faculty/RameshKrishnamurti.html,http://www.cs.sfu.ca/~ramesh/
Ze-Nian Li,Professor,"Computer Vision, Multimedia",https://www.sfu.ca/computing/people/faculty/ze-lianli.html,http://www.cs.sfu.ca/~li/
Angelica Lim,Assistant Professor of Professional Practice,Human Robot Interaction,https://www.sfu.ca/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/
Greg Mori,Professor,"Computer Vision, Machine Learning",https://www.sfu.ca/computing/people/faculty/gregmori.html,http://www.cs.sfu.ca/~mori/
Steven Pearce,Lecturer,"Instruction, Computational Applied Mathematics",https://www.sfu.ca/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/
Joseph G. Peters,Professor,Network Communications,https://www.sfu.ca/computing/people/faculty/JosephPeters.html,http://www.cs.sfu.ca/~peters/
Janice Regan,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
Ryan Shea,Assistant Professor,Big Data,https://www.sfu.ca/computing/people/faculty/ryanshea.html,http://www.sfu.ca/~rws1
Anoop Sarkar,Professor,Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory,https://www.sfu.ca/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
Thomas C. Shermer,Professor,Computational Geometry and Computer Graphics,https://www.sfu.ca/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/
Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",https://www.sfu.ca/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
Richard Vaughan,Professor,Robotics and Autonomous Systems,https://www.sfu.ca/computing/people/faculty/richardvaughan.html,http://www.cs.sfu.ca/~vaughan/
Jiannan Wang,Assistant Professor,Database Systems and Big Data,https://www.sfu.ca/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction for the Dual Degree Program,https://www.sfu.ca/computing/people/faculty/cynthiaxie.html,
Richard (Hao) Zhang,Professor ,Computer Graphics; Geometric Modelling,https://www.sfu.ca/computing/people/faculty/richardzhang.html,http://www.cs.sfu.ca/~haoz/
