Faculty Name,Faculty Rank,Faculty Area,Faculty Profile,Faculty Homepage,Faculty Research Interests
Ghassan Hamarneh,Professor,"Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)",https://www.sfu.ca/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/,['Medical Image Analysis']
Eugene Fiume,Professor,Computer Graphics,https://www.sfu.ca/computing/people/faculty/eugenefiume.html,,['Computer Graphics']
Pavol Hell,Professor,Computational Combinatorics,https://www.sfu.ca/computing/people/faculty/pavolhell.html,http://www.cs.sfu.ca/~pavol/,"['Algorithmic Graph Theory', 'Complexity Of Algorithms', 'Combinatorics Of Networks']"
Valentine Kabanets,Associate Professor,"Pseudorandomness and Derandomization, Complexity of Computation, Automata and Logic",https://www.sfu.ca/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/,"['Computational Complexity Theory', 'Pseudorandomness And Derandomization', 'Circuit Lower Bounds', 'Logic In Complexity Theory']"
Ramesh Krishnamurti,Professor,Combinatorial Optimization and Approximation Algorithms,https://www.sfu.ca/computing/people/faculty/RameshKrishnamurti.html,http://www.cs.sfu.ca/~ramesh/,"['Linear Programming', 'Duality', 'Matching', 'Designing Approximation Algorithms Based On Linear Programming']"
Ze-Nian Li,Professor,"Computer Vision, Multimedia",https://www.sfu.ca/computing/people/faculty/ze-lianli.html,http://www.cs.sfu.ca/~li/,"['Computer Vision', 'Multimedia', 'Artificial Intelligence']"
Angelica Lim,Assistant Professor of Professional Practice,Human Robot Interaction,https://www.sfu.ca/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/,"['Human Robot Interaction', 'Affective Computing', 'Multimodal Perception And Learning', 'Developmental Robotics']"
Greg Mori,Professor,"Computer Vision, Machine Learning",https://www.sfu.ca/computing/people/faculty/gregmori.html,http://www.cs.sfu.ca/~mori/,"['Computer Vision', 'Machine Learning', 'Video Analysis', 'Human Activity Recognition', 'Object Recognition']"
Steven Pearce,Lecturer,"Instruction, Computational Applied Mathematics",https://www.sfu.ca/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/,"['Spectral Methods In Mathematics', 'Computational Magnetohydrodynamics Applied To Astrophysical Dynamo Theory', 'Computational Fluid Dynamics Applied To Cratering Mechanics And Oceanic Asteroidal Impact Generation Of Megatsunamis', 'Mathematical Inverse Theory Applied To High Energy Astrophysics', 'The Theory Of Technology', 'Graph Theoretic Approach To Cellular Automata']"
Joseph G. Peters,Professor,Network Communications,https://www.sfu.ca/computing/people/faculty/JosephPeters.html,http://www.cs.sfu.ca/~peters/,"['Modelling And Performance Analysis Of Communication Networks', 'Communication Algorithms', 'Distributed Computation', 'Multimedia Networking']"
Janice Regan,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/,[]
Ryan Shea,Assistant Professor,Big Data,https://www.sfu.ca/computing/people/faculty/ryanshea.html,http://www.sfu.ca/~rws1,"['Cloud Computing', 'Cloud Gaming', 'Computer And Network Virtualization', 'Energy Efficient Computing', 'Big Data Systems']"
Anoop Sarkar,Professor,Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory,https://www.sfu.ca/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/,"['My Research Is Focused On Machine Learning Algorithms Applied To Natural Language Processing: In The Areas Of Statistical Machine Translation, Statistical Parsing And Formal Language Theory']"
Thomas C. Shermer,Professor,Computational Geometry and Computer Graphics,https://www.sfu.ca/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/,"['Software Engineering: Tools And Methods', 'Compiler Construction', 'Program Transformations', 'Theoretical Computer Networks', 'Computational Geometry']"
Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",https://www.sfu.ca/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/,"['Machine Learning', 'Statistical Learning For Relational Databases', 'Computational Game Theory', 'Computational Logic']"
Richard Vaughan,Professor,Robotics and Autonomous Systems,https://www.sfu.ca/computing/people/faculty/richardvaughan.html,http://www.cs.sfu.ca/~vaughan/,"['Applying Models Of Animal Behavior To Solve Problems In Robotics And Other Adaptive Systems', 'Creating Tools And Techniques For Designing And Simulating Populations Of Robots']"
Jiannan Wang,Assistant Professor,Database Systems and Big Data,https://www.sfu.ca/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/,"['Database Systems', 'Data Management', 'Data Cleaning', 'Crowdsourcing']"
Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction for the Dual Degree Program,https://www.sfu.ca/computing/people/faculty/cynthiaxie.html,,[]
Richard (Hao) Zhang,Professor ,Computer Graphics; Geometric Modelling,https://www.sfu.ca/computing/people/faculty/richardzhang.html,http://www.cs.sfu.ca/~haoz/,"['Geometry Processing', 'Computer Graphics', 'Shape Modeling And Analysis']"
